Date,Time,Open,High,Low,Close,Volume
2015.04.06,00:00,11970,12023,11952,12014,3325
2015.04.07,00:00,12014,12053,11978,12047,5187
2015.04.08,00:00,12047,12049,11981,12030,5466
2015.04.09,00:00,12029,12094,12019,12081,5042
2015.04.10,00:00,12082,12131,12068,12105,4878
2015.04.13,00:00,12111,12162,12100,12123,5371
2015.04.14,00:00,12124,12142,12050,12071,5330
2015.04.15,00:00,12071,12115,12028,12038,5666
2015.04.16,00:00,12036,12046,11956,11977,6587
2015.04.17,00:00,11977,11989,11927,11967,5762
2015.04.20,00:00,11955,12020,11953,12008,5169
2015.04.21,00:00,12009,12044,11988,12016,4857
2015.04.22,00:00,12015,12024,11958,11992,5175
2015.04.23,00:00,11993,12022,11952,11960,5367
2015.04.24,00:00,11961,11977,11907,11912,5364
2015.04.27,00:00,11910,11945,11878,11892,4907
2015.04.28,00:00,11891,11907,11814,11816,5094
2015.04.29,00:00,11817,11831,11739,11778,5895
2015.04.30,00:00,11778,11839,11758,11805,6434
2015.05.01,00:00,11804,11886,11799,11868,4969
2015.05.04,00:00,11871,11896,11858,11884,4586
2015.05.05,00:00,11883,11899,11820,11837,5300
2015.05.06,00:00,11836,11848,11757,11782,5643
2015.05.07,00:00,11782,11830,11775,11819,5680
2015.05.08,00:00,11817,11828,11771,11791,6455
2015.05.11,00:00,11789,11828,11781,11794,5188
2015.05.12,00:00,11794,11802,11727,11745,4989
2015.05.13,00:00,11744,11752,11651,11662,5362
2015.05.14,00:00,11663,11680,11634,11656,5496
2015.05.15,00:00,11654,11714,11654,11670,5141
2015.05.18,00:00,11663,11736,11663,11726,4623
2015.05.19,00:00,11725,11820,11719,11810,5029
2015.05.20,00:00,11808,11850,11804,11834,5829
2015.05.21,00:00,11835,11838,11786,11801,5322
2015.05.22,00:00,11802,11882,11774,11869,5003
2015.05.25,00:00,11874,11892,11870,11881,3017
2015.05.26,00:00,11882,11965,11880,11957,5327
2015.05.27,00:00,11958,11997,11929,11963,5367
2015.05.28,00:00,11963,12025,11954,11987,6082
