Date,Time,Open,High,Low,Close,Volume
2020.02.27,00:00,9982,10045,9974,10040,12034
2020.02.28,00:00,10041,10273,10027,10205,16148
2020.03.02,00:00,10279,10280,10132,10150,15116
2020.03.03,00:00,10151,10251,10128,10242,14494
2020.03.04,00:00,10241,10265,10185,10190,10729
2020.03.05,00:00,10189,10315,10171,10292,9141
2020.03.06,00:00,10292,10372,10276,10336,13711
2020.03.09,00:00,10450,10756,10422,10627,30652
2020.03.10,00:00,10626,10659,10392,10414,25494
2020.03.11,00:00,10414,10566,10411,10541,18631
2020.03.12,00:00,10541,10688,10478,10676,28145
2020.03.13,00:00,10676,10678,10381,10420,30965
2020.03.16,00:00,10548,10723,10446,10653,31623
2020.03.17,00:00,10647,10697,10535,10622,28402
2020.03.18,00:00,10620,10835,10612,10774,29994
2020.03.19,00:00,10794,10835,10560,10620,37542
2020.03.20,00:00,10619,10648,10454,10546,32748
2020.03.23,00:00,10541,10649,10517,10532,30623
2020.03.24,00:00,10531,10571,10424,10446,26184
2020.03.25,00:00,10445,10474,10335,10372,25829
2020.03.26,00:00,10373,10475,10367,10380,28060
2020.03.27,00:00,10386,10522,10386,10430,27242
2020.03.30,00:00,10428,10542,10428,10489,22437
2020.03.31,00:00,10490,10550,10438,10512,22954
2020.04.01,00:00,10504,10625,10502,10600,19580
2020.04.02,00:00,10599,10650,10537,10547,18824
2020.04.03,00:00,10547,10569,10523,10555,15060
2020.04.06,00:00,10554,10568,10442,10458,15559
2020.04.07,00:00,10456,10484,10376,10424,14382
2020.04.08,00:00,10424,10468,10390,10400,13193
2020.04.09,00:00,10400,10415,10351,10367,11545
2020.04.10,00:00,10373,10390,10363,10367,7317
2020.04.13,00:00,10361,10436,10353,10408,9036
2020.04.14,00:00,10408,10443,10378,10408,7309
2020.04.15,00:00,10407,10507,10407,10482,7950
2020.04.16,00:00,10483,10515,10456,10456,8276
2020.04.17,00:00,10457,10486,10417,10454,9714
2020.04.20,00:00,10455,10491,10440,10488,6637
2020.04.21,00:00,10487,10568,10470,10517,8875
2020.04.22,00:00,10517,10544,10482,10504,6881
2020.04.23,00:00,10501,10529,10450,10498,8451
2020.04.24,00:00,10498,10522,10482,10498,7055
2020.04.27,00:00,10490,10506,10467,10472,6096
2020.04.28,00:00,10470,10504,10469,10500,6544
2020.04.29,00:00,10500,10526,10463,10464,6196
2020.04.30,00:00,10464,10497,10374,10408,7873
2020.05.01,00:00,10407,10502,10403,10489,6836
2020.05.04,00:00,10488,10546,10488,10522,6303
2020.05.05,00:00,10521,10552,10504,10543,5847
2020.05.06,00:00,10535,10634,10534,10626,6082
2020.05.07,00:00,10625,10651,10549,10554,6614
2020.05.08,00:00,10554,10557,10491,10494,5972
